action,dropped_column,kept_instead
dropped,active_c3,range_expanding
dropped,allowed_raw_state,pending_state
dropped,atr14,atr
dropped,atr__trend_maturity_raw,atr
dropped,bear_sma_weak,bull_sma_support
dropped,bull_sma_weak,bear_sma_support
dropped,gap_down_stack,down_unfilled_count
dropped,gap_down_total_unfilled_pts,total_down_gap_area
dropped,gap_up_stack,nearest_up_gap_distance_atr
dropped,gap_up_total_unfilled_pts,total_up_gap_area_atr
dropped,range_weak,range_contracting
dropped,vwap__trend_maturity_raw,vwap_dist_atr
dropped,india_vix_zscore_20,implied_vix
dropped,atr__stress_signal_raw,atr_20
dropped,clv,close_position
dropped,total_up_gap_area,total_up_gap_area_atr
dropped,up_unfilled_count,nearest_up_gap_distance_atr
dropped,vwap,vwap_dist_atr
